 count,120,110,90, 70, 50, 30, 10, 0, -10, -30, -50, -70, -89,-90,-110,-120
1,120.08,110.02,90.13,70.04,50.11,30.0,10.0,0.02,-9.93,-29.92,-49.88,-69.91,-88.79,-89.79,-109.79,-119.8,
2,120.09,110.01,90.09,70.05,50.11,29.97,9.97,-0.01,-9.94,-29.93,-49.88,-69.9,-88.8,-89.79,-109.79,-119.8,
3,120.08,110.02,90.09,70.05,50.09,29.96,9.97,0.0,-9.94,-29.9,-49.86,-69.87,-88.81,-89.77,-109.8,-119.8,
4,120.06,110.02,90.08,70.04,50.09,29.94,10.0,-0.01,-9.96,-29.92,-49.88,-69.87,-88.79,-89.79,-109.8,-119.8,
5,120.09,110.01,90.09,70.05,50.09,29.98,9.98,0.03,-9.93,-29.9,-49.86,-69.88,-88.8,-89.8,-109.8,-119.79,
6,120.09,110.01,90.06,70.04,50.09,29.98,9.97,0.0,-9.96,-29.95,-49.86,-69.88,-88.8,-89.79,-109.79,-119.8,
7,120.08,110.01,90.11,70.05,50.09,29.97,9.98,0.01,-9.94,-29.93,-49.86,-69.87,-88.8,-89.8,-109.8,-119.8,
8,120.11,110.01,90.08,70.05,50.09,30.0,10.0,0.0,-9.94,-29.94,-49.88,-69.94,-88.79,-89.8,-109.79,-119.8,
9,120.08,110.02,90.06,70.05,50.09,29.98,9.98,0.01,-9.93,-29.93,-49.86,-69.9,-88.8,-89.8,-109.8,-119.79,
10,120.08,110.04,90.09,70.05,50.09,29.96,10.02,0.01,-9.96,-29.9,-49.88,-69.87,-88.81,-89.81,-109.8,-119.8,
11,120.08,110.01,90.09,70.05,50.09,29.97,10.0,0.0,-9.96,-29.9,-49.86,-69.9,-88.81,-89.8,-109.81,-119.8,
12,120.08,110.01,90.08,70.05,50.11,29.97,10.0,0.01,-9.93,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.81,
13,120.08,110.04,90.09,70.05,50.11,29.97,9.98,-0.01,-9.93,-29.94,-49.86,-69.91,-88.8,-89.77,-109.79,-119.79,
14,120.06,110.04,90.08,70.06,50.09,29.96,10.01,0.02,-9.94,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
15,120.08,110.01,90.08,70.02,50.09,29.95,9.97,0.0,-9.93,-29.93,-49.88,-69.93,-88.8,-89.8,-109.8,-119.8,
16,120.08,110.02,90.08,70.04,50.08,29.97,9.98,0.0,-9.94,-29.94,-49.86,-69.87,-88.8,-89.8,-109.8,-119.8,
17,120.08,110.01,90.06,70.04,50.09,29.95,9.98,-0.01,-9.96,-29.92,-49.9,-69.9,-88.8,-89.79,-109.8,-119.79,
18,120.06,110.01,90.08,70.05,50.09,29.96,9.98,0.0,-9.94,-29.92,-49.88,-69.91,-88.77,-89.79,-109.79,-119.79,
19,120.08,110.01,90.08,70.05,50.09,29.97,9.97,0.0,-9.96,-29.9,-49.88,-69.88,-88.8,-89.79,-109.79,-119.8,
20,120.08,110.02,90.09,70.05,50.09,29.95,9.97,0.0,-9.97,-29.93,-49.91,-69.88,-88.8,-89.8,-109.79,-119.8,
21,120.08,110.01,90.08,70.02,50.09,29.96,9.97,0.0,-9.94,-29.93,-49.88,-69.88,-88.79,-89.77,-109.8,-119.81,
22,120.06,110.04,90.08,70.05,50.09,29.97,9.98,0.0,-9.97,-29.93,-49.88,-69.87,-88.8,-89.79,-109.79,-119.81,
23,120.08,110.04,90.08,70.05,50.11,29.95,9.98,0.0,-9.93,-29.94,-49.86,-69.87,-88.77,-89.79,-109.79,-119.8,
24,120.08,110.01,90.09,70.05,50.09,29.97,9.97,0.0,-9.96,-29.89,-49.88,-69.87,-88.8,-89.8,-109.77,-119.8,
25,120.06,110.01,90.09,70.04,50.11,29.96,9.97,0.0,-9.94,-29.94,-49.88,-69.9,-88.8,-89.8,-109.77,-119.8,
26,120.06,110.01,90.11,70.05,50.09,29.97,9.98,0.0,-9.94,-29.93,-49.86,-69.88,-88.79,-89.79,-109.79,-119.8,
27,120.09,110.01,90.08,70.04,50.09,29.97,10.0,0.0,-9.97,-29.92,-49.88,-69.9,-88.79,-89.79,-109.8,-119.79,
28,120.06,110.01,90.06,70.05,50.08,29.95,9.97,-0.01,-9.97,-29.92,-49.86,-69.87,-88.8,-89.77,-109.79,-119.8,
29,120.08,110.01,90.08,70.05,50.09,29.95,9.98,0.0,-9.97,-29.95,-49.88,-69.9,-88.79,-89.77,-109.79,-119.8,
30,120.08,109.98,90.08,70.02,50.09,29.95,9.97,-0.01,-9.96,-29.94,-49.9,-69.88,-88.79,-89.79,-109.8,-119.8,
31,120.06,110.04,90.08,70.04,50.11,29.97,9.98,-0.02,-9.97,-29.95,-49.88,-69.9,-88.83,-89.81,-109.81,-119.8,
32,120.08,110.02,90.08,70.04,50.09,29.96,9.96,0.0,-9.96,-29.94,-49.86,-69.91,-88.8,-89.8,-109.8,-119.8,
33,120.09,110.01,90.08,70.04,50.11,29.96,9.97,0.0,-9.97,-29.93,-49.88,-69.87,-88.81,-89.79,-109.79,-119.8,
34,120.09,110.02,90.12,70.05,50.09,29.95,10.01,-0.01,-9.94,-29.93,-49.88,-69.87,-88.8,-89.79,-109.8,-119.8,
35,120.08,110.01,90.08,70.04,50.09,29.96,9.97,0.0,-9.96,-29.95,-49.88,-69.91,-88.8,-89.79,-109.76,-119.8,
36,120.08,110.04,90.08,70.05,50.09,29.96,9.98,0.0,-9.94,-29.95,-49.86,-69.87,-88.81,-89.8,-109.79,-119.8,
37,120.09,110.05,90.08,70.02,50.09,29.97,9.97,-0.01,-9.96,-29.92,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
38,120.08,110.04,90.08,70.05,50.11,29.98,9.97,-0.01,-9.94,-29.95,-49.88,-69.9,-88.81,-89.79,-109.8,-119.81,
39,120.12,110.05,90.11,70.05,50.09,29.96,10.0,-0.01,-9.97,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
40,120.08,110.01,90.11,70.05,50.11,29.97,9.97,0.0,-9.94,-29.95,-49.88,-69.91,-88.8,-89.79,-109.8,-119.8,
41,120.09,110.04,90.12,70.05,50.11,29.97,10.01,0.0,-9.97,-29.95,-49.9,-69.88,-88.8,-89.8,-109.8,-119.8,
42,120.08,110.02,90.09,70.06,50.11,29.96,9.97,0.0,-9.97,-29.95,-49.9,-69.9,-88.8,-89.79,-109.8,-119.8,
43,120.09,110.01,90.11,70.05,50.11,29.97,9.97,0.0,-9.97,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
44,120.11,110.04,90.08,70.04,50.09,29.97,10.0,-0.02,-9.97,-29.94,-49.9,-69.87,-88.8,-89.81,-109.8,-119.81,
45,120.09,110.04,90.12,70.05,50.11,29.97,9.98,0.0,-9.97,-29.93,-49.88,-69.91,-88.83,-89.8,-109.8,-119.81,
46,120.08,110.01,90.11,70.05,50.09,29.97,9.98,-0.01,-9.96,-29.94,-49.86,-69.87,-88.81,-89.8,-109.8,-119.8,
47,120.09,110.04,90.11,70.05,50.11,29.96,9.97,-0.01,-9.96,-29.95,-49.88,-69.86,-88.8,-89.79,-109.8,-119.8,
48,120.09,110.04,90.09,70.05,50.11,29.97,9.98,0.0,-9.96,-29.92,-49.9,-69.88,-88.81,-89.8,-109.8,-119.8,
49,120.09,110.05,90.09,70.05,50.09,29.97,9.97,0.01,-9.96,-29.95,-49.88,-69.9,-88.81,-89.8,-109.8,-119.81,
50,120.09,110.01,90.08,70.05,50.11,29.96,9.97,0.0,-9.96,-29.94,-49.88,-69.91,-88.81,-89.81,-109.8,-119.8,
51,120.08,110.02,90.09,70.05,50.11,29.96,9.98,-0.01,-9.96,-29.94,-49.88,-69.93,-88.8,-89.8,-109.8,-119.8,
52,120.06,110.01,90.09,70.05,50.11,29.97,9.98,-0.02,-9.94,-29.95,-49.88,-69.88,-88.8,-89.81,-109.8,-119.77,
53,120.08,110.04,90.09,70.05,50.09,29.98,9.97,0.0,-9.93,-29.95,-49.9,-69.88,-88.8,-89.79,-109.8,-119.8,
54,120.09,110.04,90.11,70.05,50.11,29.98,9.98,0.0,-9.94,-29.95,-49.88,-69.93,-88.8,-89.77,-109.8,-119.8,
55,120.08,110.01,90.08,70.06,50.09,29.96,9.97,-0.01,-9.96,-29.93,-49.9,-69.87,-88.81,-89.8,-109.8,-119.8,
56,120.08,110.05,90.11,70.05,50.11,29.97,9.97,0.0,-9.96,-29.93,-49.88,-69.88,-88.8,-89.8,-109.8,-119.81,
57,120.09,110.05,90.09,70.05,50.11,29.98,9.97,0.0,-9.94,-29.94,-49.88,-69.87,-88.81,-89.81,-109.8,-119.8,
58,120.11,110.05,90.08,70.06,50.11,29.96,10.0,0.0,-9.97,-29.92,-49.9,-69.94,-88.8,-89.8,-109.8,-119.8,
59,120.08,110.04,90.09,70.06,50.11,29.98,9.98,0.0,-9.97,-29.94,-49.88,-69.87,-88.83,-89.8,-109.8,-119.81,
60,120.09,110.02,90.12,70.06,50.11,29.98,10.0,0.0,-9.96,-29.94,-49.9,-69.91,-88.79,-89.79,-109.8,-119.8,
61,120.08,110.05,90.08,70.06,50.11,29.97,10.01,0.01,-9.96,-29.93,-49.9,-69.91,-88.81,-89.79,-109.81,-119.83,
62,120.08,110.04,90.11,70.06,50.11,29.96,9.98,0.01,-9.94,-29.94,-49.9,-69.91,-88.8,-89.83,-109.81,-119.8,
63,120.08,110.04,90.08,70.05,50.11,29.98,10.02,0.0,-9.97,-29.93,-49.88,-69.91,-88.8,-89.8,-109.81,-119.81,
64,120.09,110.02,90.11,70.06,50.13,29.97,9.97,0.0,-9.93,-29.94,-49.88,-69.88,-88.83,-89.81,-109.8,-119.81,
65,120.08,110.04,90.08,70.06,50.11,29.96,9.98,0.0,-9.94,-29.95,-49.88,-69.88,-88.8,-89.83,-109.81,-119.8,
66,120.12,110.01,90.09,70.04,50.11,29.97,10.0,0.01,-9.94,-29.95,-49.88,-69.91,-88.81,-89.79,-109.8,-119.8,
67,120.11,110.02,90.09,70.05,50.09,29.96,10.0,0.0,-9.97,-29.95,-49.9,-69.93,-88.8,-89.8,-109.8,-119.8,
68,120.12,110.02,90.09,70.05,50.11,29.97,9.98,-0.01,-9.97,-29.93,-49.9,-69.9,-88.83,-89.81,-109.8,-119.83,
69,120.08,110.04,90.12,70.08,50.11,29.97,9.98,0.0,-9.93,-29.92,-49.9,-69.9,-88.8,-89.81,-109.79,-119.8,
70,120.11,110.02,90.12,70.05,50.11,29.97,9.97,0.0,-9.97,-29.92,-49.9,-69.9,-88.81,-89.81,-109.81,-119.83,
71,120.12,110.05,90.12,70.05,50.11,29.98,10.0,-0.01,-9.96,-29.94,-49.86,-69.9,-88.81,-89.8,-109.8,-119.8,
72,120.11,110.01,90.13,70.08,50.13,30.0,10.0,0.0,-9.97,-29.92,-49.88,-69.9,-88.81,-89.8,-109.8,-119.8,
73,120.09,110.05,90.11,70.05,50.11,30.0,10.0,-0.01,-9.97,-29.94,-49.86,-69.9,-88.8,-89.79,-109.83,-119.8,
74,120.09,110.05,90.08,70.06,50.11,29.97,9.98,0.01,-9.94,-29.97,-49.88,-69.91,-88.81,-89.81,-109.81,-119.81,
75,120.08,110.04,90.09,70.05,50.11,29.96,9.97,0.0,-9.96,-29.92,-49.88,-69.87,-88.81,-89.8,-109.8,-119.8,
76,120.09,110.05,90.12,70.08,50.11,29.98,9.98,0.0,-9.97,-29.95,-49.91,-69.91,-88.81,-89.8,-109.8,-119.81,
77,120.09,110.01,90.08,70.05,50.13,29.96,10.0,-0.01,-9.97,-29.93,-49.9,-69.88,-88.8,-89.81,-109.8,-119.8,
78,120.09,110.05,90.09,70.05,50.09,29.97,10.02,0.0,-9.93,-29.93,-49.88,-69.88,-88.8,-89.8,-109.8,-119.8,
79,120.11,110.05,90.11,70.04,50.11,29.96,9.97,-0.01,-9.94,-29.95,-49.88,-69.91,-88.81,-89.8,-109.79,-119.8,
80,120.09,110.02,90.11,70.04,50.09,29.96,9.98,0.0,-9.96,-29.92,-49.86,-69.88,-88.8,-89.77,-109.81,-119.8,
81,120.09,110.02,90.08,70.05,50.11,29.96,10.0,-0.01,-9.94,-29.93,-49.9,-69.88,-88.8,-89.8,-109.79,-119.8,
82,120.09,110.04,90.12,70.05,50.09,29.95,9.97,0.0,-9.94,-29.95,-49.88,-69.88,-88.81,-89.8,-109.79,-119.8,
83,120.08,110.04,90.12,70.06,50.11,29.97,9.97,-0.01,-9.96,-29.94,-49.88,-69.91,-88.8,-89.81,-109.8,-119.81,
84,120.08,110.01,90.09,70.06,50.11,29.96,9.97,0.0,-9.97,-29.94,-49.9,-69.88,-88.81,-89.83,-109.83,-119.81,
85,120.09,110.04,90.11,70.06,50.11,29.98,9.98,0.01,-9.97,-29.94,-49.9,-69.91,-88.8,-89.8,-109.77,-119.8,
86,120.12,110.01,90.09,70.05,50.09,29.97,10.0,0.0,-9.96,-29.95,-49.9,-69.88,-88.81,-89.8,-109.79,-119.8,
87,120.12,110.04,90.09,70.05,50.13,29.97,10.0,-0.01,-9.97,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
88,120.11,110.05,90.08,70.08,50.13,29.96,10.0,0.01,-9.94,-29.89,-49.86,-69.93,-88.8,-89.81,-109.8,-119.81,
89,120.11,110.05,90.08,70.05,50.11,30.01,10.0,-0.01,-9.97,-29.93,-49.88,-69.9,-88.8,-89.8,-109.8,-119.8,
90,120.09,110.02,90.08,70.05,50.09,29.97,10.0,0.0,-9.96,-29.96,-49.9,-69.91,-88.8,-89.8,-109.81,-119.8,
91,120.08,110.01,90.08,70.05,50.11,29.97,9.97,0.0,-9.96,-29.95,-49.9,-69.9,-88.8,-89.8,-109.8,-119.8,
92,120.08,110.04,90.11,70.06,50.11,29.98,10.01,-0.01,-9.97,-29.9,-49.91,-69.93,-88.81,-89.8,-109.81,-119.81,
93,120.08,110.05,90.09,70.05,50.11,29.98,9.98,0.0,-9.96,-29.92,-49.9,-69.91,-88.81,-89.8,-109.81,-119.81,
94,120.08,110.01,90.08,70.05,50.11,29.96,10.0,0.0,-9.93,-29.92,-49.88,-69.9,-88.83,-89.81,-109.8,-119.81,
95,120.11,110.01,90.11,70.05,50.11,29.97,10.0,0.01,-9.94,-29.98,-49.86,-69.88,-88.8,-89.8,-109.8,-119.8,
96,120.08,110.04,90.11,70.05,50.11,29.98,10.0,0.0,-9.94,-29.92,-49.88,-69.9,-88.81,-89.81,-109.8,-119.8,
97,120.08,110.05,90.11,70.06,50.11,29.98,10.0,0.0,-9.97,-29.93,-49.88,-69.91,-88.81,-89.81,-109.8,-119.8,
98,120.11,110.04,90.09,70.05,50.11,29.97,9.98,0.0,-9.94,-29.95,-49.93,-69.86,-88.81,-89.8,-109.8,-119.79,
99,120.12,110.04,90.09,70.05,50.11,29.96,9.97,-0.01,-9.96,-29.95,-49.9,-69.88,-88.8,-89.79,-109.8,-119.8,
100,120.05,110.04,90.09,70.05,50.11,29.95,9.98,-0.02,-9.97,-29.94,-49.88,-69.88,-88.83,-89.8,-109.8,-119.8,
101,120.11,110.01,90.08,70.05,50.09,29.97,9.96,0.0,-9.96,-29.94,-49.88,-69.93,-88.8,-89.8,-109.8,-119.8,
102,120.08,110.02,90.11,70.08,50.09,29.96,9.98,0.0,-9.97,-29.94,-49.9,-69.9,-88.81,-89.8,-109.8,-119.8,
103,120.09,110.02,90.08,70.05,50.11,29.96,9.97,0.0,-9.97,-29.95,-49.88,-69.9,-88.8,-89.8,-109.81,-119.8,
104,120.11,110.01,90.12,70.05,50.11,29.97,9.97,-0.01,-9.98,-29.9,-49.9,-69.91,-88.8,-89.81,-109.8,-119.8,
105,120.12,110.04,90.11,70.05,50.11,29.98,9.98,-0.01,-9.96,-29.94,-49.86,-69.9,-88.8,-89.8,-109.8,-119.81,
106,120.09,110.02,90.11,70.05,50.11,29.96,10.01,0.0,-9.96,-29.94,-49.88,-69.93,-88.8,-89.77,-109.8,-119.8,
107,120.06,110.04,90.08,70.05,50.11,29.96,9.98,0.0,-9.97,-29.94,-49.88,-69.88,-88.81,-89.8,-109.83,-119.8,
108,120.08,110.04,90.09,70.05,50.11,29.98,9.97,0.0,-9.94,-29.95,-49.88,-69.91,-88.8,-89.79,-109.81,-119.8,
109,120.08,110.04,90.09,70.05,50.11,29.98,10.01,-0.01,-9.96,-29.95,-49.9,-69.94,-88.81,-89.83,-109.8,-119.8,
110,120.09,110.02,90.11,70.05,50.11,29.97,9.98,0.0,-9.96,-29.93,-49.88,-69.9,-88.81,-89.81,-109.81,-119.81,
111,120.12,110.02,90.09,70.08,50.11,29.97,10.0,0.0,-9.96,-29.95,-49.88,-69.9,-88.83,-89.81,-109.8,-119.8,
112,120.06,110.04,90.09,70.05,50.11,29.98,9.98,0.0,-9.93,-29.95,-49.88,-69.91,-88.83,-89.8,-109.8,-119.83,
113,120.08,110.05,90.08,70.05,50.11,29.97,9.98,0.0,-9.96,-29.95,-49.88,-69.91,-88.8,-89.8,-109.81,-119.83,
114,120.08,110.02,90.11,70.05,50.11,29.95,9.98,0.0,-9.93,-29.94,-49.9,-69.88,-88.8,-89.8,-109.83,-119.81,
115,120.09,110.02,90.08,70.05,50.09,29.97,10.0,-0.02,-9.97,-29.95,-49.88,-69.9,-88.8,-89.79,-109.79,-119.79,
116,120.09,110.05,90.09,70.05,50.11,29.98,10.0,-0.01,-9.97,-29.94,-49.86,-69.88,-88.8,-89.8,-109.81,-119.81,
117,120.09,110.01,90.09,70.05,50.09,29.97,10.0,0.0,-9.97,-29.93,-49.9,-69.94,-88.81,-89.8,-109.79,-119.79,
118,120.06,110.02,90.08,70.05,50.09,29.95,9.96,-0.01,-9.94,-29.94,-49.86,-69.9,-88.8,-89.77,-109.76,-119.79,
119,120.08,110.04,90.08,70.04,50.11,29.97,9.98,-0.01,-9.96,-29.95,-49.88,-69.91,-88.8,-89.79,-109.8,-119.8,
120,120.08,110.04,90.09,70.05,50.11,29.97,9.97,0.0,-9.97,-29.93,-49.9,-69.91,-88.81,-89.83,-109.8,-119.8,
121,120.08,110.04,90.08,70.05,50.11,29.97,9.98,0.0,-9.96,-29.94,-49.86,-69.87,-88.8,-89.8,-109.8,-119.8,
122,120.09,110.02,90.08,70.05,50.09,29.97,10.02,0.0,-9.94,-29.93,-49.9,-69.88,-88.8,-89.8,-109.8,-119.8,
123,120.09,110.02,90.11,70.05,50.11,29.96,9.98,0.0,-9.97,-29.93,-49.88,-69.91,-88.83,-89.8,-109.81,-119.8,
124,120.08,110.02,90.11,70.05,50.11,29.97,10.01,0.0,-9.97,-29.95,-49.88,-69.9,-88.83,-89.8,-109.81,-119.81,
125,120.08,110.02,90.08,70.05,50.11,29.98,10.0,0.0,-9.94,-29.94,-49.88,-69.91,-88.8,-89.8,-109.8,-119.83,
126,120.08,110.02,90.11,70.06,50.11,29.97,10.0,-0.01,-9.97,-29.93,-49.9,-69.91,-88.79,-89.8,-109.8,-119.8,
127,120.09,110.04,90.11,70.02,50.13,29.97,9.97,0.01,-9.93,-29.93,-49.9,-69.9,-88.8,-89.8,-109.81,-119.81,
128,120.08,110.04,90.09,70.05,50.13,29.96,9.98,0.0,-9.96,-29.9,-49.9,-69.93,-88.8,-89.81,-109.8,-119.8,
129,120.08,110.02,90.09,70.05,50.09,29.98,10.01,0.0,-9.96,-29.92,-49.9,-69.88,-88.79,-89.81,-109.8,-119.8,
130,120.12,110.02,90.08,70.05,50.11,29.98,10.01,0.01,-9.94,-29.95,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
131,120.08,110.02,90.11,70.05,50.09,29.98,9.98,0.01,-9.94,-29.92,-49.9,-69.9,-88.81,-89.8,-109.8,-119.81,
132,120.08,110.02,90.11,70.05,50.11,29.98,9.98,0.0,-9.97,-29.93,-49.9,-69.9,-88.81,-89.81,-109.83,-119.8,
133,120.09,110.05,90.08,70.05,50.11,29.98,10.0,0.0,-9.93,-29.93,-49.88,-69.93,-88.81,-89.8,-109.8,-119.81,
134,120.09,110.02,90.09,70.05,50.09,30.0,10.0,0.01,-9.94,-29.94,-49.88,-69.93,-88.8,-89.81,-109.8,-119.8,
135,120.09,110.05,90.12,70.08,50.13,29.98,10.0,0.0,-9.97,-29.94,-49.88,-69.91,-88.83,-89.8,-109.81,-119.81,
136,120.08,110.04,90.09,70.06,50.13,30.01,10.0,0.0,-9.96,-29.94,-49.86,-69.91,-88.81,-89.83,-109.8,-119.83,
137,120.11,110.04,90.08,70.05,50.15,30.0,10.02,0.0,-9.96,-29.93,-49.88,-69.91,-88.8,-89.8,-109.81,-119.83,
138,120.11,110.05,90.11,70.05,50.13,29.98,10.02,0.02,-9.93,-29.93,-49.88,-69.91,-88.81,-89.83,-109.8,-119.8,
139,120.09,110.02,90.09,70.05,50.13,30.0,10.0,0.01,-9.93,-29.95,-49.88,-69.9,-88.8,-89.8,-109.83,-119.81,
140,120.11,110.04,90.11,70.05,50.11,30.0,10.01,0.0,-9.97,-29.93,-49.9,-69.91,-88.83,-89.81,-109.81,-119.8,
141,120.08,110.02,90.09,70.05,50.09,29.98,10.01,0.0,-9.97,-29.94,-49.86,-69.9,-88.8,-89.79,-109.8,-119.81,
142,120.06,110.04,90.11,70.04,50.11,30.0,10.0,0.0,-9.93,-29.94,-49.86,-69.9,-88.79,-89.79,-109.81,-119.8,
143,120.09,110.04,90.09,70.04,50.09,29.98,10.0,0.01,-9.94,-29.94,-49.88,-69.87,-88.81,-89.81,-109.8,-119.81,
144,120.08,110.01,90.08,70.05,50.11,29.98,9.98,0.0,-9.93,-29.92,-49.88,-69.88,-88.81,-89.77,-109.8,-119.8,
145,120.11,110.04,90.08,70.05,50.09,30.01,10.0,0.02,-9.94,-29.94,-49.88,-69.9,-88.81,-89.8,-109.8,-119.8,
146,120.06,110.05,90.11,70.05,50.11,30.0,9.98,0.0,-9.96,-29.93,-49.88,-69.9,-88.81,-89.81,-109.8,-119.8,
147,120.09,110.02,90.11,70.05,50.11,29.97,9.98,0.01,-9.93,-29.94,-49.88,-69.87,-88.81,-89.8,-109.79,-119.8,
148,120.12,110.02,90.09,70.06,50.11,29.98,10.02,0.01,-9.94,-29.94,-49.88,-69.87,-88.8,-89.8,-109.81,-119.8,
149,120.09,110.01,90.11,70.06,50.09,29.98,10.0,0.0,-9.97,-29.93,-49.86,-69.91,-88.81,-89.8,-109.8,-119.8,
